codes,entropy Von Neumann
182840,4.883787098051743
183034,4.493977160670958
183337,4.610735340652787
183741,4.818788952480094
185038,4.481783040370198
185139,4.68458569328096
185341,4.6169695160216015
185442,4.592114242416512
185846,3.9470752757915775
185947,4.613194666804565
186040,4.8429064306286955
186141,4.569665266780584
186444,4.112201539627559
186545,3.9400599531539617
186848,4.67388410908559
186949,4.7542877573494415
187143,4.506983604002196
187345,4.223041931592402
187547,4.531372287203444
187850,4.461831129362775
188145,4.845756187447362
188347,4.067061905586813
188448,4.409403156860398
188549,4.406111431646211
188751,4.169996713737941
189349,4.416441435096921
189450,4.405849236296805
189652,4.795410601863596
190031,3.9712379370253768
191033,4.250504875210746
191235,4.091217627056815
191336,4.070669661348591
191437,4.890046348108933
191841,4.712167869442419
191942,4.624735178294877
192035,5.1467182828489815
192136,4.446155517003032
192237,4.84759587670035
192439,4.555559640414138
192540,4.119382122775853
192641,4.87755922627829
192843,4.6360603080125955
193239,4.470019701383822
193441,4.312928535346627
193845,4.47743041326067
194140,4.81429309867049
194443,4.430296014924755
194645,4.076002230316067
194746,4.76028912552282
194847,4.884179657485822
195041,5.105394821855425
195445,4.039938086779141
195647,4.8293554410768476
195849,4.409393108219575
195950,5.068686698526557
196144,4.846268693361608
196346,4.238302298092378
196750,4.254141293113166
196851,4.2424293517762415
196952,5.018305926463858
197348,5.270165293596906
197550,4.832331003214427
197651,4.51557817989872
198047,4.300251490357737
198249,4.533343972894788
198350,3.521807081492871
198451,4.665806808160287
198653,4.120774278774406
198855,4.791415535674695
199150,4.152941965193002
199251,4.51927081578111
199352,4.392006961138297
199453,3.811245455846139
199655,4.59824691592746
199958,4.201135986566015
200008,4.796672040745962
200109,4.540461879701066
200210,4.51322333150518
200311,4.781125146247552
200513,4.323463465707707
200614,4.6595286749559595
200917,3.7505677298030076
201111,4.273457283680122
201414,3.902816628985163
201515,4.391240377440074
201717,4.566345291904108
201818,4.973721703094949
202113,3.7138818341118056
202719,4.574106818834644
202820,4.817682532592991
203418,4.848484055476324
203923,4.00510045726412
204016,4.672352571991804
204218,5.056778120237041
204319,4.4453472096528
204420,4.433809841696908
204521,5.144605788789515
204622,4.758601940417181
205119,4.623698803060661
205220,3.979018341405733
205725,4.8138524138534065
205826,4.949948866649914
206222,3.827089299080669
206323,5.151462367570689
206525,3.4417835451485184
206727,4.63273178953619
206828,4.1411832323133275
206929,4.190131624079821
207123,4.247976045063915
207426,4.640877464200592
208024,4.536784914104558
208125,4.765333426587151
208226,4.586946685530204
208327,4.628305483253669
208428,4.974222431643572
208630,3.9819666504194835
209127,4.7564124266195105
209228,4.627337223856233
209329,4.789905791026528
209531,4.764051592407736
209834,5.066455347730547
209935,4.512738343966891
210011,4.4127716578570855
210112,4.122418714868822
210415,4.484302191340146
210617,4.515147389086664
211114,4.762302300188377
211215,4.223609326751625
211316,4.8004559197558505
211417,4.886349173260426
211619,4.2631387355799495
211720,4.1494750170365275
211821,4.537305929656364
211922,4.7468911777698555
212015,4.11944282513712
212116,5.021291531295032
212217,4.970268042380374
212318,5.096468320519653
212419,4.320574992834346
212823,4.55807493987283
213017,4.521802972197618
213421,3.956433913650419
213522,4.503366347172895
214019,4.984140193385871
214221,4.115946040504346
214423,3.7972478758602515
214524,4.7243846594778205
214625,4.2936012571900335
214726,4.576133724721998
217126,3.7504419024321907
217429,4.699082908079175
219231,4.481633498069861
220721,4.890656002738396
221218,4.713449863131131
221319,4.439548177658512
223929,4.122932224685527
224022,4.094251343519877
227432,4.911692701859472
227533,4.7576724372970585
228434,4.132088939684509
231928,4.439696235672368
233326,3.819918139746503
236130,4.3060598184038446
237334,4.59640376340853
238033,4.502272177343654
239136,4.82992388001529
239944,5.072508811048143
245333,4.606917497875231
246133,4.258398912750245
248339,4.554430605655047
249947,4.673130275634972
250427,4.917711722689008
250932,4.560918865991922
251833,4.998875143643957
255639,4.920791076152007
255740,4.455570372294497
256540,4.440879994569241
257542,4.5908620933404105
257845,4.819851267172583
257946,4.174969144501425
263436,4.47376988681935
268749,4.519623048584249
268850,4.23926898243128
270332,3.9852021800375472
274542,4.261736906160698
275645,3.88836637783922
280739,5.076455574243738
280941,4.610016714131404
281135,4.328806743893918
283543,4.64605954588439
284646,4.884183522254878
285345,4.91202567262512
285446,4.863919530298095
286347,4.094718523409589
286650,4.683259569813822
287248,4.225003199925558
289555,4.761063004747939
290136,4.8622520736160215
293748,5.06064634774317
295146,5.204715611751526
297655,4.551514240335017
298051,4.424102605869829
298455,4.318439230064226
299154,4.1869736964583915
299760,4.61122866728847
300618,4.135276614689102
300719,4.651685030096274
303119,4.961445281188341
303624,4.1603970287054235
304020,4.0966539505150035
304727,4.425595189016995
305830,4.536132890528721
307127,4.867246400656716
308129,4.0094055586797595
308331,3.942724994875264
309636,4.570714760046263
310621,4.659723859010101
311320,4.551695974040502
314225,4.040270579255103
316633,4.192831392932289
316835,4.624020268548257
317332,4.226152574776975
318637,4.105373621264251
320826,4.621299633946352
321323,4.3807120309402565
322224,4.843751309442708
325129,4.182577171077485
329440,4.661465546836887
329844,4.701232291332184
330324,4.765040876607556
333330,4.973266189112337
334635,3.834645594630597
336841,4.3030938216622925
339847,4.670322674736311
341834,4.65871546372542
342129,3.940407385877262
346137,4.953327613070796
346945,4.774441821029388
348545,4.565526973431962
349244,4.5311569092165636
350330,4.752396336752752
352132,4.3364328633775
352738,4.620668814450154
353740,3.9289402900580406
355239,4.75196370065285
356948,4.645208545089496
358144,4.11844961085052
360030,4.875755153294999
361234,4.420082431198246
361941,4.365034376151652
362034,4.490360679089431
365343,4.779181424116048
366042,4.588526631231403
366446,3.5689683969276524
368551,4.738567684843982
368753,5.093624958885037
371843,4.5658806342296785
376247,4.085682729950401
377451,3.8666249779821174
378756,4.550956893006817
